t,px_hat,py_hat,vx_hat,vy_hat,bax_hat,bay_hat
1.590000000000000036e+01,1.560940839563626241e+02,2.915663549615459704e+00,1.008792183611496363e+01,6.728928447330376206e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.571029855513292546e+02,3.136483040114392828e+00,1.008795768119014902e+01,1.374291002554625662e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.610000000000000142e+01,1.581509289253827717e+02,3.045739129791142474e+00,1.010080625135237575e+01,1.031356559890171387e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.619999999999999929e+01,1.592774586720465209e+02,2.971810173377112285e+00,1.013909210514213122e+01,7.543860822831227608e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.630000000000000071e+01,1.604651116691597679e+02,3.020193471458644030e+00,1.019630991948218579e+01,8.888797171095227934e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.640000000000000213e+01,1.616804819933993542e+02,2.941738522665218181e+00,1.026087314322792032e+01,6.007825959288138479e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000000000000e+01,1.631020565467673293e+02,3.061019644620295743e+00,1.039151683826056072e+01,9.749651352477239907e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.660000000000000142e+01,1.641983305112960920e+02,3.062962508954453433e+00,1.041041298036403262e+01,9.491401585389959428e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.669999999999999929e+01,1.651104702443018368e+02,2.959489803445242373e+00,1.036771575764202602e+01,5.749590041779627930e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.680000000000000071e+01,1.661012109670805330e+02,2.869678999593038071e+00,1.035244971956595883e+01,2.580349158477065336e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.690000000000000213e+01,1.671364559390371198e+02,2.872259348751515340e+00,1.035244971956595883e+01,2.580349158477065336e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.681791109508447164e+02,2.777702447257853091e+00,1.035490737529260308e+01,-6.413598354788045686e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.710000000000000142e+01,1.692657379485672777e+02,2.933368596404601014e+00,1.037185243594432116e+01,4.538213739145045139e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.719999999999999929e+01,1.703029231921616997e+02,2.937906810143746217e+00,1.037185243594432116e+01,4.538213739145045139e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.730000000000000071e+01,1.711926263852046759e+02,3.132315929356192630e+00,1.032314697000419734e+01,1.080863843487790965e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.740000000000000213e+01,1.721555147530783074e+02,3.312363749653244316e+00,1.030027094711507374e+01,1.638508104203944826e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000000e+01,1.732173938093376080e+02,3.479790599533876705e+00,1.031074665265137469e+01,2.135265295016555709e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760000000000000142e+01,1.740730109021392593e+02,3.465560489386585008e+00,1.025312727528551449e+01,2.018413304769224037e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.769999999999999929e+01,1.752809352994476626e+02,3.380444212082311939e+00,1.031302618565955953e+01,1.673014796030629359e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.780000000000000071e+01,1.759912809023039415e+02,3.114226220303997650e+00,1.020783911142869549e+01,7.457103433653786140e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.790000000000000213e+01,1.766496874466102440e+02,2.836748476738177427e+00,1.008914752447887686e+01,-1.875534932506840724e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,1.776130105083784372e+02,3.041290263744342859e+00,1.007421979045447458e+01,4.883027502868363123e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.810000000000000142e+01,1.785740738664433138e+02,3.106543636221059224e+00,1.005904291859955713e+01,6.859430100971802835e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.819999999999999929e+01,1.795827742138205849e+02,3.126455191907828723e+00,1.005995834681540302e+01,7.286756524360035736e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.830000000000000071e+01,1.805840071499175679e+02,3.120731547065660916e+00,1.005839861713442929e+01,6.860698551204763573e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.840000000000000213e+01,1.816712201692574524e+02,2.979463191455625548e+00,1.008505625425780039e+01,2.008028839914986069e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.850000000000000000e+01,1.828296242815584378e+02,3.126409910831492223e+00,1.013418708206778085e+01,6.758549006042380292e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.860000000000000142e+01,1.838430429897652232e+02,3.133168459837534670e+00,1.013418708206778085e+01,6.758549006042380292e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.869999999999999929e+01,1.848319051127453179e+02,3.265491880438770256e+00,1.012614552006664148e+01,1.087043056765375215e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.880000000000000071e+01,1.857499008445022355e+02,3.200835177302338241e+00,1.009519573061624342e+01,8.399940151726366377e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.890000000000000213e+01,1.867930187518206253e+02,3.187243018155938135e+00,1.010617680707728994e+01,7.681163672850659097e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,1.877508150431991680e+02,3.106200406559459282e+00,1.008892203384499986e+01,4.782889617535455995e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.910000000000000142e+01,1.886967668305869665e+02,3.251308637348725217e+00,1.006836723517078092e+01,9.365571652601120678e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.920000000000000284e+01,1.894556894468394148e+02,3.307902155366541308e+00,9.987407648721928766e+00,1.090786186300663763e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.930000000000000071e+01,1.904606217350973907e+02,3.412162952973230468e+00,9.989429900578413069e+00,1.395692000029056246e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.940000000000000213e+01,1.915696809806593990e+02,3.032337175757271908e+00,1.002540780327704617e+01,1.090994347457474589e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.950000000000000000e+01,1.926856310105697503e+02,3.089290354105427294e+00,1.006247971856878110e+01,2.917051887655000564e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.960000000000000142e+01,1.937228391781504229e+02,3.036521933572108090e+00,1.007260642039755538e+01,1.095648107031161472e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.970000000000000284e+01,1.948724566466544275e+02,2.993175680185924836e+00,1.011920331162813014e+01,-3.590446543865852269e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.980000000000000071e+01,1.961496268971678774e+02,3.082373058583546044e+00,1.020609663028902148e+01,2.574737502998797334e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000000000213e+01,1.971702365601967699e+02,3.084947796086544791e+00,1.020609663028902148e+01,2.574737502998797334e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.984980460054819957e+02,2.984417275570561578e+00,1.030669587524178077e+01,-8.016682454643521416e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.010000000000000142e+01,1.992639900793620598e+02,3.100328690355694139e+00,1.022008536819856772e+01,3.016845187829376995e-02,0.000000000000000000e+00,0.000000000000000000e+00
